company,job_name,salary,city,work_years,education,desc
通津网络,python,10K-15K,天津,1-3年,本科,"['工作职责:', '1、研发自动化运维平台和工具，提高运维、开发协作效率，规范操作流程，ERP等SaaS平台底层相关业务逻辑的研发经验；', '2、研发基础服务组件，解决运维和测试实际需求，减少重复开发与运维；', '3、评估系统性能和运行状态，建立量化指标，用数据指导优化；', '任职资格:', '1、具有二年以上Python软件开发或系统应用管理经验，有odoo系统开发经验；', '2、熟练掌握Python语言，熟悉Django,flask等框架；', '3、熟悉常用的CI工具,Jenkins,git,maven等；', '4、具有良好的沟通协调能力、较强的团队合作精神、优秀的执行能力；', '5、强烈的责任心和敬业精神，结果导向型思维；', '6、熟悉以下平台或技术优先：', '1) 有自动化部署和自动化运维经验（代码发布、资产配置管理、自动监控脚本编写等）', '2) 熟悉以下关键词：Devops/Docker/Ansible', '3) 熟悉前端技术，如CSS，JQuery，bootstrap等，熟悉HTTP协议及W3C相关互联网规范；', '7、有高并发处理经验、分布式架构经验优先，拥抱开源，有 Github 项目加分。']"
勤智数码科技,初级Python开发工程师,8K-12K,成都,3-5年,本科,"['岗位数：1人 （2018/9/3 更新）', '主要工作职责', '- 为某大型合资公司做软件开发外包工作', '- 负责云计算管理平面软件的设计，开发，调试，或参与系统测试工作', '- 根据项目要求，需要去现场项目做支持工作', '主要技能要求', '- 熟悉python脚本语言,有3年及以上实际Python开发经验', '- 熟悉OpenStack或CloudStack，有相关开发经验', '- 熟悉Linux平台，最好有管理员工作经验', '- 能很好地进行技术性交流和沟通']"
西部绿谷节水技术,Python,6K-8K,银川,经验不限,本科,"['岗位职责：', '1. 参与项目需求分析，业务逻辑流程与设计，文档编写；', '2. 负责系统开发，维护现有的项目和系统；', '任职要求：', '1. 熟悉Python，掌握基本数据结构，熟悉标准数据库，认同Python设计理念；（编程语言）', '2. 熟悉常见的Python框架，熟悉Tornado，django优先；（服务框架）', '3. 熟悉常见的数据库，熟练掌握Mysql，Mongodb，Redis者优先', '（数据库）', '4. 掌握Linux操作系统，熟悉ngin\u2006x，WSGI,理解TCP,HTTP等网络协议；', '5. 具有良好的编码习惯，文档书写习惯，优秀的团队合作和独立抗压能力，善于学习，乐于分享', '2014年西部绿谷公司获得第二届中国农业科技企业创业创新大赛初创组第二名，是宁夏科技厅认定的农业“科技特派员”企业。']"
数拓科技,Python开发工程师,8K-16K,西安,经验不限,本科,"['工作内容：1. 负责平台系统核心业务的架构设计与研发；', '2. 根据产品需求，团队讨论分析，给出解决方案，并实现；', '3. 对接负责项目，沟通，分享。', '任职要求：', '1. 热爱编程，强烈渴望学习和应用新技术；独立解决问题的偏执狂加分。', '2. 1年以上计算机网络开发相关经验，有python语言背景及linux平台服务器熟练商业项目级别工作经验；', '有碾压linux变态潜力性能经验者加分；', '3. 熟悉关系数据库及文本类数据库相关开发能力；有开发MongoDB 或 CouchDB插件者加分；', '4. 有搜索引擎或大型数据抓取分析的相关工作经验者优先；有高并发交易类项目经验者加分；', '5.有大数据挖掘或神经计算网络项目经验者优先；', '6. 热爱黑客马拉松或喜欢PK代码性能者，有VIP通道直达。']"
虎赞科技,Python服务端开发工程师,10K-20K,福州,1-3年,大专,"['岗位描述：', '1、负责服务端研发工作；', '2、根据产品需求，进行系统设计和编码；', '3、持续对系统架构进行改造和优化；', '岗位要求：', '1. 熟练掌握Unix/Linux平台上的Python编程; 熟悉常用模块的使用，了解内部实现，熟悉python的高级用法和性能优化；', '2. 熟练掌握MySQL数据库，具备MySQL索引优化、查询优化的能力；', '3. 对http协议和web服务有较深刻的理解，熟悉RESTful规范；', '4. 熟悉Django、Flask等Python Web开发框架；', '5. 熟练掌握一种以上非关系型数据库，如Redis、Mongodb，理解其使用场景及限制；', '6. 熟悉 Git 和 Pull Request 流程', '7. 有良好的团队合作精神，对工作，产出和自己的代码有责任感，有较好的沟通能力', '福利待遇：', '√ 社会保险--这是必须的;', '√ 公积金--有有有;', '√ 法定节假日--该有的一样不会少;', '√ 节日福利--过节有福利，大家更开心;']"
多益网络,Python开发工程师,10K-15K,广州,1-3年,本科,"['岗位职责：', '负责游戏自行化测试工具及平台的后台开发工作，dev-ops+测试自动化', '任职要求：', '1、大学本科及以上学历，计算机相关专业毕业；', '2、熟练掌握Python编程，有一定的web后台开发经验者尤佳；', '3、热爱游戏，对参与游戏自动化测试开发领域有热忱。', '高速发展，高薪诚聘，明星产品']"
青岛一点即付,Python,5K-6K,青岛,1-3年,大专,['微信公众号相关开发，后端数据库要求MySQL及redis等配合。熟悉wsgi和webservice的优先。']
游戏开发,Python,10K-15K,郑州,1年以内,本科,['做棋牌游戏开发，技术总监']
术本资产,Python,5K-7K,郑州,1-3年,本科,['协助开发维护迭代量化交易系统(python) 协助交易员和策略师进行市场数据的准备和梳理 使用python编写交易软件的GUI 维护非关系型数据库Mangodb']
铕人网络,Python开发,13K-21K,杭州,1-3年,本科,"['职位描述：', '岗位职责:', '1. 根据灵活多变的业务需求，进行网络服务的后端开发。', '2. 针对高并发的业务需求，分析系统瓶颈，解决各种疑难杂症。', '岗位要求:', '1. 熟悉linux下Web服务开发，熟悉Python，Java，C/C++任一种语言即可。', '2. 熟悉web后端技术架构，有Web服务开发经验者优先。', '3. 有分布式系统开发，服务性能调优，前端开发，NoSQL使用经验者优先，对开源软件、敏捷开发方法有特别兴趣者优先。', '4. 有强烈的责任感和对技术的热情，较强的coding能力，有Geek精神者优先。']"
eDragonConnect,高级 Python 工程师,8K-16K,珠海,1-3年,不限,"['高级 Python 工程师', '1 ，喜欢写代码并以此为乐趣；', '2 ，熟悉 python ，可以使用这门编程语言完成日常工作；', '3 ，熟悉 mongodb/redis 的设计使用，根据任务需求，可基于 mongodb ，提供合理的数据结构设计及存储方案；', '4 ，了解 nginx 日常的维护及配置；', '5 ，对自己、团队合作有责任心，乐于沟通，能够承诺工作任务，勇于挑战；', '6 ，拥有快速解决问题能力，对工作、软件开发有创意与热情是加分项；', '7 ，坚持学习、阅读查看英文原版书籍是加分项；', '8 ,  欢迎能够技术转向的同学', '如果你喜欢编程，对自己有信心，富有激情，学习、上手能力强，如果可以也请给我们一份你的简历。', '我们是一支年轻且有激情的团队，我们致力通过互联网技术IT智能技术等帮助酒店度假区旅游业提升业务。我们已经帮客户创造了 10 倍以上的业务增长成绩，我们正为下一个更有突破的目标在努力中，目前我们主要的客户包括澳门金沙度假区，澳门巴黎人度假区，新加坡滨海湾金沙，嘉年华，公主邮轮等全球范围内合作伙伴']"
万卷,python开发,10K-20K,长沙,1-3年,大专,"['至少满足下面三个招聘方向中的一条。', '招聘主要方向：', '一.python web高级讲师', '职位要求：', '1.精通Python,具有python web开发经验，有参与多个完整的项目生命周期的经历', '2.熟悉web开发流程，熟悉 python网络常用库', '3.熟悉nginx等主流服务器，wsgi网关接口以及数据库（sql和nosql）相关知识', '4.掌握django，flask，tornado主流框架至少一种，并使用这些框架开发过完整商业项目', '5.掌握缓存，安全，部署发布项目等', '6.熟悉了解前端开发技能优先', '7.熟悉c语言优先', '二.python爬虫高级讲师', '职位要求：', '1.精通Python，熟悉python常用网络库', '2.精通主流python爬虫框架，如（Scrapy框架，splinter框架等）', '3.掌握分布式爬虫架构，有爬虫框架二次开发经验者优先', '4.具有大规模网页爬虫开发经验', '5.对算法设计和数据结构有深刻的理解', '6.熟悉TCP/IP网络协议,熟悉Linux操作系统', '7.熟悉多线程编程，有数据挖掘经验者优先', '8.熟悉c语言优先', '三.python自动化运维高级讲师', '职位要求：', '1.精通Python，有相关自动化运维平台开发实际工作经验', '2.熟悉ansilbe，zabbix，ELK，Ganglia、Nagios等运维工具及使用API集成开发', '3.深入理解Linux操作系统，具备系统运维工作经验', '4掌握常用数据库相关知识（sql和nosql）', '5.熟悉网络基础知识，有数据处理、监控系统相关经验', '6.熟悉Docker及其开源调度系统优先', '7.熟悉c语言优先', '岗位职责：', '1.按照教学大纲高质量完成日常授课任务；', '2.负责python相关课程培训、课程方案编写以及课件开发工作；', '3.根据教学安排进行备课，完善授课讲义等资料，积极主动完成课程教学、辅导工作；', '4.积极参与部门内训，保持技术先进性；', '5.参与教学项目案例研发工作，配合完成相关的教学资料的研发工作；', '6.部门安排的其他相关工作。']"
天津出行,Python,8K-15K,天津,1-3年,本科,"['1.开发和维护网络传输模块', '2.附则模块的跨平台移植', '3.熟练掌握1门编程语言', '4.熟练掌握多线程，及多线程间的通信方式', '5.熟悉常见的网络IO复用模型，写过异步框架的程序', '6.熟悉：TCP，ip协议栈（tcp\u3000udp\u3000http）']"
高重信息科技,Python,10K-15K,无锡,3-5年,本科,['ai的视频处理方向']
宽潮科技,Python,4K-8K,深圳,1年以内,本科,"['1. 熟练使用python开发，熟悉linux环境，debian系统。', '2. 熟悉机器学习，有神经网络开发经验更佳。', '3. 数学统计背景更佳，有数学理论基础。']"
帝光科技,Python 工程师,8K-12K,贵阳,1-3年,本科,"['-两年以上 Python 开发经验，精通网络编程、HTTP 协议', '- 熟悉 HTML/JS/CS、DOM、PHP/Python、Django； 熟悉主流前端框架；', '- 熟悉微信相关第三方开发接口应用', '- 熟悉服务器部署、安全、架构，及Mysql数据库', '- 拥有良好的代码习惯，结构清晰，命名规范，逻辑性强，认同单元测试', '- 善于思考，能独立分析和解决问题', '- 责任心强，具备良好的团队合作精神和承受压力的能力', '- 熟练使用 Git，熟悉 Pull Request 工作流']"
正本网络,Python,8K-16K,福州,经验不限,不限,"['岗位职责：', '1.负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析工作；', '2.负责网页信息和APP数据抽取、清洗、消重等工作', '3.负责采集策略和防屏蔽规则，提升数据采集的效率和质量；', '4.实时监控爬虫的进度和警报反馈；', '任职要求：', '1.熟悉Linux系统，掌握Java 、Python、C++等语言；', '2.了解多线程、多进程、网络通信编程相关知识，有分布式爬虫架构，数据挖掘经验；', '3.掌握网页抓取原理及技术，了解基于Cookie的登录原理，熟悉基于正则表达式、XPath、CSS等网页信息抽取技术；', '4.熟悉APP模拟及接口验签破解技术，了解APP用户授权访问机制，掌握Selenium，APP破解技术优先；']"
